ID in GmHapMap dataset	PI_# & Name	Origin	Depth of Coverage (x)
Gm_H001	12S01C-074	Canada	4
Gm_H002	X5302-1-52-3-2-B	Canada	14
Gm_H003	OACInwood	Canada	22
Gm_H004	OACDrayton	Canada	17
Gm_H005	OACCarman	Canada	14
Gm_H006	DH618(OAC06-18)	Canada	10
Gm_H007	Acme	Canada	11
Gm_H008	SECAN08-24C	Canada	17
Gm_H009	OT09-03	Canada	9
Gm_H010	12S01C-057	Canada	45
Gm_H011	12S01C-075	Canada	11
Gm_H012	X5346-1-3-4-4-B	Canada	11
Gm_H013	OACOxford	Canada	16
Gm_H014	QS5055.43G	Canada	17
Gm_H015	OACMadoc	Canada	13
Gm_H016	Bloomfield	Canada	15
Gm_H017	MapleAmber	Canada	21
Gm_H018	OAC09-35C	Canada	6
Gm_H019	Pagoda	Canada	14
Gm_H020	12S04C-043	Canada	8
Gm_H021	QS06008.6J	Canada	7
Gm_H022	QS06087.4J	Canada	7
Gm_H023	QS4004P.4J	Canada	13
Gm_H024	OACAtwood	Canada	8
Gm_H025	QS4067P.17j	Canada	24
Gm_H026	OACStratford	Canada	25
Gm_H027	QGC16T	Canada	11
Gm_H028	9004	Canada	6
Gm_H029	OT02-18	Canada	10
Gm_H030	QS06099.38J	Canada	10
Gm_H031	12S01C-045	Canada	3
Gm_H032	QS07001-6	Canada	5
Gm_H033	Altesse	Canada	23
Gm_H034	OACHuron	Canada	4
Gm_H035	QS5085.8Bp	Canada	11
Gm_H036	OT11-01	Canada	9
Gm_H037	ACBravor	Canada	15
Gm_H038	Heather	Canada	11
Gm_H039	X5165-1-28-3-5-B(Garry)	Canada	9
Gm_H040	QS06099.38JB	Canada	10
Gm_H041	12S02C-024	Canada	9
Gm_H042	X5377-1-43-4-2-B	Canada	13
Gm_H043	OACEmbro	Canada	36
Gm_H044	OAC07-06C	Canada	11
Gm_H045	OACEclipse	Canada	17
Gm_H046	SECAN09-42C	Canada	22
Gm_H047	Morsoy	Canada	20
Gm_H048	MapleIsle	Canada	13
Gm_H049	Dundas	Canada	6
Gm_H050	QS06009.25J	Canada	9
Gm_H051	QS06094.7J	Canada	11
Gm_H052	X5367-1-96-4-2-B	Canada	18
Gm_H053	OACGinty	Canada	27
Gm_H054	QS4039P.15B(G)	Canada	19
Gm_H055	QS4042.6Bp	Canada	24
Gm_H056	AC2001	Canada	21
Gm_H057	Rodeo	Canada	5
Gm_H058	9063	Canada	7
Gm_H059	MapleDonovan	Canada	7
Gm_H060	QS06012.30J	Canada	21
Gm_H061	12S02C-026	Canada	3
Gm_H062	QS4003.28B	Canada	4
Gm_H063	OACGlencoe	Canada	10
Gm_H064	OACSalem	Canada	13
Gm_H065	QS5091.50j	Canada	4
Gm_H066	Kamichis	Canada	9
Gm_H067	OT05-18	Canada	17
Gm_H068	OACEramosa	Canada	6
