glyma.Wm82.gnm4.Gm01	Gm01
glyma.Wm82.gnm4.Gm02	Gm02
glyma.Wm82.gnm4.Gm03	Gm03
glyma.Wm82.gnm4.Gm04	Gm04
glyma.Wm82.gnm4.Gm05	Gm05
glyma.Wm82.gnm4.Gm06	Gm06
glyma.Wm82.gnm4.Gm07	Gm07
glyma.Wm82.gnm4.Gm08	Gm08
glyma.Wm82.gnm4.Gm09	Gm09
glyma.Wm82.gnm4.Gm10	Gm10
glyma.Wm82.gnm4.Gm11	Gm11
glyma.Wm82.gnm4.Gm12	Gm12
glyma.Wm82.gnm4.Gm13	Gm13
glyma.Wm82.gnm4.Gm14	Gm14
glyma.Wm82.gnm4.Gm15	Gm15
glyma.Wm82.gnm4.Gm16	Gm16
glyma.Wm82.gnm4.Gm17	Gm17
glyma.Wm82.gnm4.Gm18	Gm18
glyma.Wm82.gnm4.Gm19	Gm19
glyma.Wm82.gnm4.Gm20	Gm20
glyma.Wm82.gnm4.scaff_21	Gm13_scaffold_21
glyma.Wm82.gnm4.scaff_22	scaffold_22
glyma.Wm82.gnm4.scaff_24	scaffold_24
glyma.Wm82.gnm4.scaff_25	scaffold_25
glyma.Wm82.gnm4.scaff_26	scaffold_26
glyma.Wm82.gnm4.scaff_27	Gm03_scaffold_27
glyma.Wm82.gnm4.scaff_28	scaffold_28
glyma.Wm82.gnm4.scaff_29	scaffold_29
glyma.Wm82.gnm4.scaff_30	scaffold_30
glyma.Wm82.gnm4.scaff_31	scaffold_31
glyma.Wm82.gnm4.scaff_32	scaffold_32
glyma.Wm82.gnm4.scaff_33	scaffold_33
glyma.Wm82.gnm4.scaff_34	scaffold_34
glyma.Wm82.gnm4.scaff_35	scaffold_35
glyma.Wm82.gnm4.scaff_36	scaffold_36
glyma.Wm82.gnm4.scaff_37	scaffold_37
glyma.Wm82.gnm4.scaff_39	scaffold_39
glyma.Wm82.gnm4.scaff_40	Gm13_scaffold_40
glyma.Wm82.gnm4.scaff_42	scaffold_42
glyma.Wm82.gnm4.scaff_43	scaffold_43
glyma.Wm82.gnm4.scaff_44	scaffold_44
glyma.Wm82.gnm4.scaff_46	scaffold_46
glyma.Wm82.gnm4.scaff_47	scaffold_47
glyma.Wm82.gnm4.scaff_49	scaffold_49
glyma.Wm82.gnm4.scaff_50	scaffold_50
glyma.Wm82.gnm4.scaff_51	scaffold_51
glyma.Wm82.gnm4.scaff_52	scaffold_52
glyma.Wm82.gnm4.scaff_54	Gm18_scaffold_54
glyma.Wm82.gnm4.scaff_55	scaffold_55
glyma.Wm82.gnm4.scaff_56	scaffold_56
glyma.Wm82.gnm4.scaff_57	scaffold_57
glyma.Wm82.gnm4.scaff_58	scaffold_58
glyma.Wm82.gnm4.scaff_59	Gm06_scaffold_59
glyma.Wm82.gnm4.scaff_60	scaffold_60
glyma.Wm82.gnm4.scaff_61	scaffold_61
glyma.Wm82.gnm4.scaff_62	scaffold_62
glyma.Wm82.gnm4.scaff_64	scaffold_64
glyma.Wm82.gnm4.scaff_65	scaffold_65
glyma.Wm82.gnm4.scaff_69	Gm07_scaffold_69
glyma.Wm82.gnm4.scaff_70	Gm06_scaffold_70
glyma.Wm82.gnm4.scaff_71	scaffold_71
glyma.Wm82.gnm4.scaff_73	scaffold_73
glyma.Wm82.gnm4.scaff_74	scaffold_74
glyma.Wm82.gnm4.scaff_76	scaffold_76
glyma.Wm82.gnm4.scaff_78	scaffold_78
glyma.Wm82.gnm4.scaff_79	Gm05_scaffold_79
glyma.Wm82.gnm4.scaff_80	scaffold_80
glyma.Wm82.gnm4.scaff_82	scaffold_82
glyma.Wm82.gnm4.scaff_83	scaffold_83
glyma.Wm82.gnm4.scaff_84	Gm14_scaffold_84
glyma.Wm82.gnm4.scaff_85	scaffold_85
glyma.Wm82.gnm4.scaff_86	scaffold_86
glyma.Wm82.gnm4.scaff_88	scaffold_88
glyma.Wm82.gnm4.scaff_89	scaffold_89
glyma.Wm82.gnm4.scaff_92	scaffold_92
glyma.Wm82.gnm4.scaff_93	scaffold_93
glyma.Wm82.gnm4.scaff_94	Gm19_scaffold_94
glyma.Wm82.gnm4.scaff_95	scaffold_95
glyma.Wm82.gnm4.scaff_96	scaffold_96
glyma.Wm82.gnm4.scaff_98	Gm06_scaffold_98
glyma.Wm82.gnm4.scaff_99	scaffold_99
glyma.Wm82.gnm4.scaff_101	scaffold_101
glyma.Wm82.gnm4.scaff_102	scaffold_102
glyma.Wm82.gnm4.scaff_103	scaffold_103
glyma.Wm82.gnm4.scaff_104	scaffold_104
glyma.Wm82.gnm4.scaff_105	scaffold_105
glyma.Wm82.gnm4.scaff_106	scaffold_106
glyma.Wm82.gnm4.scaff_107	Gm10_scaffold_107
glyma.Wm82.gnm4.scaff_108	scaffold_108
glyma.Wm82.gnm4.scaff_109	scaffold_109
glyma.Wm82.gnm4.scaff_110	scaffold_110
glyma.Wm82.gnm4.scaff_111	scaffold_111
glyma.Wm82.gnm4.scaff_113	Gm15_scaffold_113
glyma.Wm82.gnm4.scaff_115	Gm10_scaffold_115
glyma.Wm82.gnm4.scaff_116	Gm11_scaffold_116
glyma.Wm82.gnm4.scaff_117	scaffold_117
glyma.Wm82.gnm4.scaff_118	scaffold_118
glyma.Wm82.gnm4.scaff_119	Gm10_scaffold_119
glyma.Wm82.gnm4.scaff_120	scaffold_120
glyma.Wm82.gnm4.scaff_121	scaffold_121
glyma.Wm82.gnm4.scaff_122	Gm02_scaffold_122
glyma.Wm82.gnm4.scaff_123	scaffold_123
glyma.Wm82.gnm4.scaff_124	scaffold_124
glyma.Wm82.gnm4.scaff_125	scaffold_125
glyma.Wm82.gnm4.scaff_126	scaffold_126
glyma.Wm82.gnm4.scaff_127	scaffold_127
glyma.Wm82.gnm4.scaff_128	scaffold_128
glyma.Wm82.gnm4.scaff_129	scaffold_129
glyma.Wm82.gnm4.scaff_130	scaffold_130
glyma.Wm82.gnm4.scaff_131	scaffold_131
glyma.Wm82.gnm4.scaff_132	scaffold_132
glyma.Wm82.gnm4.scaff_134	scaffold_134
glyma.Wm82.gnm4.scaff_135	Gm03_scaffold_135
glyma.Wm82.gnm4.scaff_137	scaffold_137
glyma.Wm82.gnm4.scaff_138	scaffold_138
glyma.Wm82.gnm4.scaff_140	scaffold_140
glyma.Wm82.gnm4.scaff_141	scaffold_141
glyma.Wm82.gnm4.scaff_142	Gm20_scaffold_142
glyma.Wm82.gnm4.scaff_143	scaffold_143
glyma.Wm82.gnm4.scaff_145	scaffold_145
glyma.Wm82.gnm4.scaff_146	scaffold_146
glyma.Wm82.gnm4.scaff_147	scaffold_147
glyma.Wm82.gnm4.scaff_149	scaffold_149
glyma.Wm82.gnm4.scaff_151	scaffold_151
glyma.Wm82.gnm4.scaff_152	scaffold_152
glyma.Wm82.gnm4.scaff_155	scaffold_155
glyma.Wm82.gnm4.scaff_157	scaffold_157
glyma.Wm82.gnm4.scaff_158	scaffold_158
glyma.Wm82.gnm4.scaff_160	scaffold_160
glyma.Wm82.gnm4.scaff_162	scaffold_162
glyma.Wm82.gnm4.scaff_163	scaffold_163
glyma.Wm82.gnm4.scaff_164	scaffold_164
glyma.Wm82.gnm4.scaff_165	Gm09_scaffold_165
glyma.Wm82.gnm4.scaff_166	Gm01_scaffold_166
glyma.Wm82.gnm4.scaff_168	scaffold_168
glyma.Wm82.gnm4.scaff_174	scaffold_174
glyma.Wm82.gnm4.scaff_175	scaffold_175
glyma.Wm82.gnm4.scaff_178	scaffold_178
glyma.Wm82.gnm4.scaff_180	scaffold_180
glyma.Wm82.gnm4.scaff_183	Gm06_scaffold_183
glyma.Wm82.gnm4.scaff_184	scaffold_184
glyma.Wm82.gnm4.scaff_187	scaffold_187
glyma.Wm82.gnm4.scaff_188	Gm05_scaffold_188
glyma.Wm82.gnm4.scaff_189	scaffold_189
glyma.Wm82.gnm4.scaff_191	scaffold_191
glyma.Wm82.gnm4.scaff_193	scaffold_193
glyma.Wm82.gnm4.scaff_194	scaffold_194
glyma.Wm82.gnm4.scaff_195	scaffold_195
glyma.Wm82.gnm4.scaff_196	scaffold_196
glyma.Wm82.gnm4.scaff_198	scaffold_198
glyma.Wm82.gnm4.scaff_199	scaffold_199
glyma.Wm82.gnm4.scaff_201	scaffold_201
glyma.Wm82.gnm4.scaff_207	scaffold_207
glyma.Wm82.gnm4.scaff_209	scaffold_209
glyma.Wm82.gnm4.scaff_210	scaffold_210
glyma.Wm82.gnm4.scaff_211	scaffold_211
glyma.Wm82.gnm4.scaff_214	Gm06_scaffold_214
glyma.Wm82.gnm4.scaff_216	scaffold_216
glyma.Wm82.gnm4.scaff_217	scaffold_217
glyma.Wm82.gnm4.scaff_223	scaffold_223
glyma.Wm82.gnm4.scaff_224	scaffold_224
glyma.Wm82.gnm4.scaff_226	scaffold_226
glyma.Wm82.gnm4.scaff_229	scaffold_229
glyma.Wm82.gnm4.scaff_232	Gm11_scaffold_232
glyma.Wm82.gnm4.scaff_233	scaffold_233
glyma.Wm82.gnm4.scaff_234	scaffold_234
glyma.Wm82.gnm4.scaff_238	Gm03_scaffold_238
glyma.Wm82.gnm4.scaff_239	scaffold_239
glyma.Wm82.gnm4.scaff_240	scaffold_240
glyma.Wm82.gnm4.scaff_241	scaffold_241
glyma.Wm82.gnm4.scaff_245	Gm03_scaffold_245
glyma.Wm82.gnm4.scaff_246	scaffold_246
glyma.Wm82.gnm4.scaff_249	Gm19_scaffold_249
glyma.Wm82.gnm4.scaff_250	scaffold_250
glyma.Wm82.gnm4.scaff_252	scaffold_252
glyma.Wm82.gnm4.scaff_253	scaffold_253
glyma.Wm82.gnm4.scaff_260	Gm16_scaffold_260
glyma.Wm82.gnm4.scaff_261	scaffold_261
glyma.Wm82.gnm4.scaff_264	scaffold_264
glyma.Wm82.gnm4.scaff_269	scaffold_269
glyma.Wm82.gnm4.scaff_270	scaffold_270
glyma.Wm82.gnm4.scaff_271	scaffold_271
glyma.Wm82.gnm4.scaff_273	scaffold_273
glyma.Wm82.gnm4.scaff_277	scaffold_277
glyma.Wm82.gnm4.scaff_282	scaffold_282
glyma.Wm82.gnm4.scaff_288	scaffold_288
glyma.Wm82.gnm4.scaff_294	scaffold_294
glyma.Wm82.gnm4.scaff_298	scaffold_298
glyma.Wm82.gnm4.scaff_301	Gm06_scaffold_301
glyma.Wm82.gnm4.scaff_303	scaffold_303
glyma.Wm82.gnm4.scaff_307	scaffold_307
glyma.Wm82.gnm4.scaff_313	scaffold_313
glyma.Wm82.gnm4.scaff_314	Gm12_scaffold_314
glyma.Wm82.gnm4.scaff_315	scaffold_315
glyma.Wm82.gnm4.scaff_319	scaffold_319
glyma.Wm82.gnm4.scaff_324	scaffold_324
glyma.Wm82.gnm4.scaff_327	scaffold_327
glyma.Wm82.gnm4.scaff_328	scaffold_328
